,WindGustDir,WindDir3pm,WindDir9am,RainToday,RainTomorrow
0,W,WNW,W,No,No
1,WNW,WSW,NNW,No,No
2,WSW,WSW,W,No,No
3,NE,E,SE,No,No
4,W,NW,ENE,No,No
5,WNW,W,W,No,No
6,W,W,SW,No,No
7,W,W,SSE,No,No
8,NNW,NW,SE,No,Yes
9,W,SSE,S,Yes,No
10,N,ESE,SSE,No,Yes
11,NNE,ENE,NE,Yes,Yes
12,W,NNW,NNW,Yes,Yes
13,SW,SSW,W,Yes,No
14,WNW,WNW,N,No,No
15,ENE,E,SSW,No,Yes
16,W,WNW,N,Yes,Yes
17,SSE,SW,WSW,Yes,No
18,SSE,NNW,SE,No,No
19,S,SE,SE,No,No
20,NE,N,NE,No,No
21,WNW,W,W,No,No
22,N,NW,ESE,No,No
23,W,W,E,No,No
24,WSW,WSW,SE,No,No
25,WSW,W,N,No,No
26,WNW,WNW,N,No,No
27,WNW,WSW,NW,No,Yes
28,WNW,SW,WSW,Yes,No
29,W,WNW,WNW,No,No
30,WNW,WNW,W,No,No
31,W,SSW,WSW,No,No
32,SSE,E,SSE,No,No
33,WNW,NW,SSE,No,No
34,WNW,NW,ENE,No,No
35,W,WNW,SE,No,No
36,W,W,E,No,No
37,W,WSW,W,No,No
38,NE,S,SSE,No,No
39,NE,E,NNE,No,No
40,S,N,SSE,No,No
41,SW,WSW,SE,No,No
42,NNW,NW,SE,No,No
43,NW,SSW,SSE,No,No
44,WNW,W,W,No,No
45,SW,SW,WSW,No,No
46,SE,SW,SE,No,No
47,WNW,SSW,ENE,No,No
48,WNW,NNE,SSE,No,No
49,NNW,WNW,SSE,No,No
50,NNW,WSW,NE,No,No
51,NW,NNW,N,No,Yes
52,WNW,NW,S,Yes,No
53,W,W,W,No,No
54,WSW,SSE,ESE,No,No
55,S,WSW,SSE,No,No
56,NNE,NNW,SE,No,No
57,N,NNE,E,No,No
58,SW,S,ESE,No,No
59,NNE,SE,ESE,No,No
60,ESE,SW,ESE,No,No
61,SW,E,SE,No,No
62,SW,NW,NE,No,No
63,W,SE,N,No,No
64,W,SE,N,No,No
65,WSW,S,SSE,No,No
66,W,W,SE,No,No
67,NNW,NW,SE,No,No
68,NW,W,N,No,No
69,SE,WSW,SW,No,No
70,SSE,SE,SSE,No,No
71,SSE,E,SSE,No,No
72,SE,NE,SSE,No,Yes
73,SSE,SSE,SE,Yes,No
74,NE,SE,S,No,No
75,NNE,SSW,SSE,No,No
76,E,ESE,SE,No,No
77,N,ENE,SSE,No,No
78,NW,SW,ENE,No,No
79,WSW,WSW,SE,No,No
80,SSW,SSE,NNW,No,No
81,SSE,S,SSE,No,No
82,NW,WNW,S,No,No
83,NW,NW,SE,No,No
84,WNW,WNW,SW,No,No
85,WNW,WSW,N,No,No
86,ESE,S,ESE,No,No
87,W,S,N,No,No
88,WSW,SE,E,No,No
89,W,WSW,W,No,No
90,NNW,ENE,S,No,No
91,WNW,NNE,NE,No,No
92,WNW,WNW,W,No,No
93,SW,W,WSW,No,No
94,WSW,WNW,N,No,No
95,W,W,S,No,No
96,SSE,SSE,E,No,No
97,NNE,NE,SSE,No,No
98,NE,E,ESE,No,Yes
99,NE,N,NE,Yes,No
100,W,S,ENE,No,Yes
101,ENE,S,N,Yes,Yes
102,SW,N,E,Yes,Yes
103,WNW,NW,W,Yes,No
104,W,WNW,S,No,No
105,WNW,WSW,SSE,No,No
106,NW,NW,SSE,No,No
107,WSW,SW,S,No,No
108,SSE,N,NE,No,No
109,NNW,NNE,N,No,No
110,NE,NNE,E,No,No
111,NW,WNW,N,No,No
112,S,WNW,SSE,No,No
113,ENE,SSE,SSE,No,Yes
114,WSW,WNW,N,Yes,No
115,WNW,W,N,No,No
116,NNW,N,N,No,No
117,S,SE,N,No,No
118,ENE,SE,N,No,No
119,WSW,SSW,S,No,No
120,SE,ENE,N,No,No
121,NE,ENE,N,No,Yes
122,W,NNE,E,Yes,Yes
123,W,WSW,N,Yes,No
124,WSW,NW,E,No,No
125,W,WSW,SSE,No,No
126,SE,S,S,No,No
127,SSE,SSE,SSE,No,No
128,ENE,S,ESE,No,No
129,W,NE,SE,No,Yes
130,W,E,S,Yes,Yes
131,WSW,SE,N,Yes,No
132,NNE,SSW,ENE,No,No
133,WNW,W,N,No,No
134,W,W,NW,No,No
135,W,WNW,N,No,No
136,WNW,W,ENE,No,No
137,W,W,SSE,No,No
138,SE,SE,SE,No,No
139,SSE,SE,SE,No,No
140,ESE,SSE,ENE,No,No
141,ESE,SW,N,No,No
142,NE,NE,N,No,No
143,WNW,NNE,ESE,No,Yes
144,W,NNW,WNW,Yes,Yes
145,NNW,WNW,NW,Yes,Yes
146,NW,NNW,N,Yes,Yes
147,WNW,W,W,Yes,No
148,SSE,SSE,SE,No,No
149,SW,SW,N,No,No
150,SW,WSW,N,No,No
151,SW,W,ENE,No,No
152,S,SSE,N,No,No
153,W,WSW,ENE,No,No
154,ESE,SE,N,No,No
155,SW,WNW,ENE,No,No
156,SW,WNW,SE,No,No
157,W,W,N,No,No
158,W,WSW,N,No,No
159,SE,SE,N,No,No
160,ESE,S,NNW,No,No
161,W,WNW,ENE,No,No
162,WNW,W,SE,No,No
163,WNW,WNW,WNW,No,No
164,WNW,NW,NW,No,Yes
165,W,WSW,W,Yes,No
166,W,E,E,No,No
167,E,ENE,N,No,No
168,SSE,SSE,N,No,No
169,E,ENE,SSE,No,No
170,SE,SE,N,No,No
171,SE,SE,S,No,No
172,E,SE,NE,No,No
173,SE,SE,N,No,No
174,NE,NE,SE,No,Yes
175,E,SSE,E,Yes,No
176,W,WSW,N,No,No
177,SSE,S,N,No,No
178,ESE,SE,N,No,No
179,SE,SE,N,No,No
180,NW,SE,N,No,Yes
181,SE,SE,N,Yes,Yes
182,SE,ESE,N,Yes,Yes
183,SE,SE,ENE,Yes,Yes
184,ENE,E,NW,Yes,No
185,W,W,NNE,No,No
186,ESE,SE,E,No,Yes
187,NNW,NNW,NNW,Yes,Yes
188,WNW,WNW,WNW,Yes,Yes
189,W,WNW,NNW,Yes,Yes
190,WNW,WSW,W,Yes,No
191,SE,ESE,N,No,No
192,ESE,SSE,E,No,No
193,ENE,NE,E,No,No
194,NNE,NE,N,No,No
195,ESE,SE,NNE,No,No
196,SE,ESE,N,No,No
197,WSW,W,N,No,No
198,N,SE,N,No,No
199,ESE,SE,NE,No,No
200,NNE,NE,NE,No,Yes
201,ENE,ENE,NW,Yes,Yes
202,SE,ENE,SE,Yes,No
203,W,SSE,ENE,No,Yes
204,ESE,SE,ESE,Yes,No
205,NNW,N,ESE,No,Yes
206,SE,ESE,ESE,Yes,No
207,SSE,SE,SE,No,Yes
208,W,NNW,WSW,Yes,Yes
209,NE,NNE,NE,Yes,Yes
210,NW,NE,NE,Yes,Yes
211,NW,NW,N,Yes,Yes
212,WNW,WNW,NW,Yes,Yes
213,W,WSW,W,Yes,No
214,WNW,WNW,WNW,No,No
215,W,W,W,No,No
216,ENE,WSW,NNE,No,No
217,E,ENE,N,No,No
218,E,ESE,N,No,No
219,ESE,SE,N,No,No
220,E,SSE,N,No,No
221,NE,NE,N,No,No
222,NNW,NNW,SSE,No,No
223,WNW,NNW,N,No,Yes
224,W,SSW,N,Yes,Yes
225,WSW,SE,ENE,Yes,No
226,WNW,WSW,N,No,No
227,N,SW,NNE,No,No
228,N,N,N,No,No
229,NNE,NE,ESE,No,No
230,NW,N,N,No,No
231,N,ENE,ENE,No,No
232,W,NNW,ENE,No,Yes
233,WNW,W,W,Yes,No
234,NW,NNW,N,No,No
235,NE,NE,N,No,No
236,SSE,E,N,No,No
237,N,NNW,ENE,No,Yes
238,WNW,WNW,NW,Yes,Yes
239,WNW,WSW,NW,Yes,No
240,NNW,WNW,N,No,Yes
241,W,WSW,W,Yes,No
242,W,WNW,N,No,No
243,NNW,NNW,SW,No,No
244,NNW,WNW,W,No,No
245,SSE,ENE,N,No,Yes
246,NNE,S,ENE,Yes,No
247,N,NE,N,No,No
248,WNW,WSW,WNW,No,Yes
249,WNW,WSW,E,Yes,No
250,ESE,E,S,No,No
251,SE,SE,SSE,No,No
252,NNE,NNW,E,No,Yes
253,W,NW,SSE,Yes,No
254,NW,N,NW,No,Yes
255,WSW,WNW,N,Yes,No
256,NNE,NE,SE,No,Yes
257,W,ENE,NE,Yes,Yes
258,WNW,WNW,W,Yes,No
259,WNW,S,N,No,No
260,E,S,NE,No,No
261,N,N,ESE,No,No
262,WNW,WSW,NNE,No,Yes
263,NE,NNE,SE,Yes,Yes
264,NNE,NNE,ENE,Yes,Yes
265,WNW,NW,NNW,Yes,Yes
266,W,NW,W,Yes,Yes
267,NW,NW,NNW,Yes,No
268,N,N,ENE,No,No
269,NNW,E,ESE,No,Yes
270,W,W,NE,Yes,Yes
271,WNW,W,W,Yes,Yes
272,NW,NW,NW,Yes,Yes
273,WNW,W,WNW,Yes,No
274,ESE,E,ESE,No,No
275,NE,NE,SE,No,Yes
276,NW,WNW,ESE,Yes,No
277,WNW,NW,ESE,No,No
278,NE,NE,SE,No,No
279,W,W,ENE,No,No
280,W,WSW,W,No,No
281,W,WNW,W,No,No
282,N,NNE,SE,No,No
283,NE,NE,SE,No,No
284,NNE,WNW,E,No,No
285,SW,NNW,NE,No,No
